"REF_DATE","GEO","DGUID","Labour force characteristics","Educational degree","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-03","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","63.1","","","","1"
"2018-04","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","63.1","","","","1"
"2018-05","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","66.2","","","","1"
"2018-06","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","66.9","","","","1"
"2018-07","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","66.8","","","","1"
"2018-08","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","66.5","","","","1"
"2018-09","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","65.0","","","","1"
"2018-10","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","64.6","","","","1"
"2018-11","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","64.0","","","","1"
"2018-12","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","63.4","","","","1"
"2019-01","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","62.2","","","","1"
"2019-02","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","61.9","","","","1"
"2019-03","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","62.8","","","","1"
"2019-04","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","63.4","","","","1"
"2019-05","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","66.2","","","","1"
"2019-06","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","67.1","","","","1"
"2019-07","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","67.4","","","","1"
"2019-08","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","67.7","","","","1"
"2019-09","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","65.5","","","","1"
"2019-10","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","64.7","","","","1"
"2019-11","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","63.5","","","","1"
"2019-12","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","63.1","","","","1"
"2020-01","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","61.6","","","","1"
"2020-02","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","63.5","","","","1"
"2020-03","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","60.9","","","","1"
"2020-04","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","52.4","","","","1"
"2020-05","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","55.8","","","","1"
"2020-06","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","60.8","","","","1"
"2020-07","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","61.2","","","","1"
"2020-08","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","61.1","","","","1"
"2020-09","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","60.8","","","","1"
"2020-10","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","61.3","","","","1"
"2020-11","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","61.1","","","","1"
"2020-12","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","59.7","","","","1"
"2021-01","Canada","2016A000011124","Employment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v54912659","1.10.3.2.1","57.7","","","","1"
